Repo_Name,DTA_Standard,DTA_Linear,DTA_NoWeight,GT_Intensity_Mean,GT_Trend_Slope,GT_Stability_InvCV,Base_HAA,Base_RM,Base_LTE
ImHex,97.99250725390979,78.78941483449256,97.51094579696655,3.15644815865097,-0.027992552987060448,2.7404214875658415,2.624668616469088,3.4924268684708384,5.82487321543106
airflow,96.80850755177732,69.83372672838698,95.66692113876343,3.512250403910575,-0.009628788746272748,5.432795335527342,3.7966010114788507,3.586222468012501,3.424584815362587
TDengine,96.41144201628575,74.40611193583247,94.94292736053467,3.4802539935932404,-0.012187638962209854,4.443907337597552,3.9953758312371734,4.238547097337433,4.515994495589203
node,96.14059849402352,66.69843302027616,95.92306613922119,4.266477410864384,0.00012114577083185027,7.894793584241621,3.943152634072149,4.7182822054747655,6.024404461212085
localstack,95.86653549930739,73.80239372266118,95.64319849014282,4.378695587518015,-0.008783957182367765,5.910698035482536,4.16891398677356,3.798986673819169,3.0763182436837324
gitea,95.3455466569099,63.55778454183434,95.94027996063232,3.926872028561505,-0.007799731680027569,5.442855536228012,3.72577868830535,3.9965662783417137,4.6722785739351345
grpc,95.04911368261939,61.60127766492821,94.93646621704102,4.11643854489552,0.006310399643181318,7.494789208951044,3.9194537250828447,3.6011276922559774,3.1253303994178525
PaddleOCR,92.22942920548402,54.535812163835864,90.91144800186157,3.623612645124463,0.009384589528561008,5.031024951155104,3.2664691504340437,2.8922085420822774,2.1993566817533434
next.js,92.14908825539968,56.60494951096289,87.24333047866821,3.1414035156820055,0.013964196440050244,5.7121322781950505,2.9421706356283,3.0569907029210133,3.404185006755408
openpilot,91.76978097754585,55.35992044898486,90.10814428329468,3.6317800384282095,0.0036046979272431946,4.49008202502954,3.429168846816391,3.358402409403412,2.891424615567856
ionic-framework,91.72329631541365,52.702420462353615,91.6619062423706,3.621577889587411,-0.0030813257046259914,5.1106863455338765,3.2649877056095122,3.144128356282662,3.1148422946229717
mongoose,91.07613118335662,52.938966911704114,90.95475673675537,3.3986348063161187,-0.011137763565083702,4.159406058279267,3.208230494465751,3.2287668000423086,3.9656333765504628
fastify,90.61852767283789,55.38210287418024,82.86231756210327,2.7116305888900105,0.004289547984780236,4.151206708128167,3.3503753398329112,2.7775667992870345,3.0386556189093277
acme.sh,90.46531236013163,55.18359041736708,84.21638011932373,2.9165377985608,-0.010120172983737472,2.96906424720899,2.6660376371330403,2.904989886580343,2.8704497312315387
pytorch,89.5102764599537,63.07230168419279,89.60155248641968,3.968587351619768,0.006649217405036692,5.166783931358474,3.877498665684994,3.714087472504974,3.6520657291358765
protobuf,89.04637422418692,51.24457461238081,90.04710912704468,3.887732270569955,0.005828458932549692,7.144316919924479,3.288027581614455,3.1007303356416376,2.0700948404646935
ansible,88.97020547708497,48.26096457829246,88.95766735076904,3.516498150720229,-0.0005036247259711354,5.803360589164536,2.8091996295306,2.7434420092859253,2.3552087481349977
pi-hole,88.74245377086058,49.69826752599294,89.45567607879639,2.8088842463357797,-0.012595640698421506,3.367666792412196,2.5301256984563256,3.7595916223718957,5.31870760190877
angular,88.4729728066026,46.83875125922832,87.46888637542725,2.5886102638036337,-0.010330854244916325,5.867941568356682,3.259232520599063,3.0343908553737395,2.297509725344395
type-challenges,86.4483557908364,58.5403055977294,75.47534704208374,2.7798907881164348,0.004651185261443264,2.487819614372016,3.095248008762274,2.94782587995513,2.8608859404801636
hutool,84.88321242847708,48.88191757139569,78.29116582870483,2.5076129355067884,-0.005213137781131303,2.2920455406949896,2.555991372821,3.130180019288514,4.074524173893866
penpot,84.49609985802098,44.02217134011327,83.24540853500366,3.480629068039474,0.008562395466854255,3.729759843428429,2.5825553644637886,2.1082163112047185,1.7957401132860444
mmdetection,82.78923263649911,41.31664155839492,82.1850061416626,3.0460892509543602,0.006953952088855521,5.276880994837395,2.275280734856438,1.9213212841682341,0.8819624145125463
fabric.js,80.89357102361639,38.83853969473495,81.94608688354492,3.8557264022092066,0.014008241846202293,4.386499385073924,2.006937900057232,1.9732079620730083,2.2198814012152797
monaco-editor,80.00124193809054,37.54341327996323,75.90935230255127,2.353216852911447,-0.014933725441922927,1.8479356044767306,1.4220688019893497,2.0729168368040494,2.835495870335527
spaCy,79.5297718169129,43.97686722410762,80.00068664550781,2.6057132970708596,-0.0078263705463768,3.5027427872806722,2.6539118716009527,2.677458651199788,3.1312895170895674
libuv,77.60957940348602,38.27124487839958,68.50919723510742,1.8533015116068172,0.007707287560212217,2.729901276755187,1.8344180912352772,2.2125612644930714,2.320724495850854
terminus,77.6037885450777,42.33141435694086,67.81549453735352,1.520848519077731,0.0012275822221348635,1.9521782641557497,1.9223782424454219,1.7340033172217237,1.1255197259923517
meilisearch,77.24087445211933,35.512953126357324,76.9034743309021,2.733485545982156,0.03746385787496331,2.2950347851941397,2.3705931871451287,1.8486350256769424,1.7430882242252543
appwrite,75.1233953293701,35.096506350155906,68.68079900741577,3.0553141374855386,0.02496691684180988,1.9512084247541541,2.086029451884591,1.949694076560285,2.0928051135968024
clash,75.10089312306845,37.86149717854482,76.52009725570679,1.8474598024281201,-0.008809289656798773,1.7730301321456026,2.222345644838732,2.6300774657344896,2.3613591372170695
svelte,75.08603678353361,35.955221297377285,76.57489776611328,2.236898893668042,-0.00936117428668855,4.4888287748566205,1.904797831473087,2.380006776500392,2.885464929663819
pipenv,75.06581493728886,34.728141184656245,72.46183156967163,3.936838245084274,-0.01683550656579503,3.8505351035836854,1.9092848216083607,2.5384355496182156,3.473687533344191
awesome-go,74.69732498812456,38.25570155901743,71.85423374176025,2.523636477300348,0.005938041760064529,1.8945715880956064,2.2553562607864763,1.8362860782715646,1.5855019083929793
freqtrade,74.40332665468475,33.77077823882802,69.07522678375244,3.574483683312651,0.005809311339910609,4.152423920236242,2.132292085836046,2.018617474868626,1.082783611595433
selenium,72.89437672125413,31.970691102473126,72.27824926376343,2.6727457654973055,0.03209106227126605,2.687990740062506,3.143623547722662,2.330415818828859,0.9402294326605481
curl,72.42959893555516,41.40417689445944,71.84426784515381,3.3927090754012483,0.00681176794663523,2.2190130492077307,2.298770183942798,2.5347357973181834,2.605045619657002
autocomplete,71.33076233086531,33.8640930837443,70.75849771499634,3.1428660780130953,0.011237684439228986,3.6945337012375306,2.2895776930057123,2.129898961218534,1.8748087139665386
create-react-app,69.62854591639906,36.856565025156215,60.52839756011963,0.9720245964850456,-0.004602020917821899,1.6960336871358486,1.8304595069182408,1.3297207015155947,0.2583390196376243
awesome-python,69.52798845461487,45.35328252341688,58.43864679336548,1.7251037355337975,0.0033398392773400522,1.3862991528987112,1.9414261289194752,2.151210223468542,2.720799873306592
slate,69.24005911715389,29.79004829855214,58.61866474151611,1.452127311537029,0.002499664379222404,2.8815608471433816,1.3786651341568523,1.4099804250890962,0.9919840398166088
vue-next,68.88541665274741,32.778294810116044,71.14216089248657,2.1289082132100896,0.017386668817262307,2.4923369879799493,2.1836859541039684,1.605777421145512,-0.024263299910940627
hexo,67.85367214614605,29.555803158401297,58.923447132110596,1.8509374401457173,0.003924958805462457,1.7188359619866014,1.5178723817140314,0.7910003909009341,0.0871953838693271
sharp,67.37803397688931,31.47586077982626,71.56873941421509,2.0889585296188042,-0.021388524402373005,2.005288324627261,2.0757168615971273,2.378304223628065,3.065287249700697
react-hook-form,67.00212517368414,27.192933706552946,66.66152477264404,1.2543415409675656,-0.002393354938120986,2.739916753182946,1.416662197987365,1.5643041051239543,1.7042545119589299
pandas,65.81141437600625,26.787004916300518,61.16445064544678,2.7931233097755417,0.015429150401070232,5.659867524776696,1.6800230214622875,1.7931886906182484,2.2909940850554826
meteor,65.3868540820142,30.68862493426697,61.42749786376953,2.2581321419794307,0.011276495804118046,2.3563075855911313,1.1035706836954606,1.2502369702375342,0.7867484862778301
CppCoreGuidelines,63.77396301974083,25.95624099684205,60.62444448471069,1.5095442922885944,-0.026405892512225238,1.5249725710352287,1.4000754371006405,2.1081600992673653,3.2640971502090763
Sentinel,63.404942152697295,29.233062425383277,59.42014455795288,2.0118246327888847,-0.003678951748031707,2.7640510489763166,1.536580352903328,1.7272568565271615,1.8736595667301017
jest,62.02102845136028,27.327792368239308,51.232147216796875,2.71218348841355,0.014540772886814024,3.6612178106899864,1.6107211814674893,1.4070279011152467,0.5118914532365925
webtorrent,57.9544415903346,22.764808221644476,51.470160484313965,1.1338351430380678,-0.0005748056435847234,1.3971803440451487,1.3311041881913708,0.8981945225738858,0.4083362137158761
requests,57.44088590058125,22.710456521667872,51.88403129577637,0.8320284280836048,0.0016567669491257462,1.555815829929807,1.6052282979543222,1.3880326676074308,1.5344912383853189
preact,56.43603708205936,22.095017293021154,56.983768939971924,1.9853090976267702,-0.008567622972056972,3.8127325837122146,1.4079944953507806,1.7867443450884337,2.911214754719209
tornado,54.91723762969977,22.043147421714696,57.14472532272339,1.0767657607951155,-0.0028524724277389714,1.5565274562063318,1.9809832416899915,1.5868917784733665,2.4870478790457105
scrcpy,54.154989272337396,22.7093417623382,56.96691274642944,1.1790181050899895,-0.006374488318060627,1.7444760675190212,1.3819451335529767,1.3852247730957277,1.1806619815500656
alacritty,52.808430605001696,20.482259512992073,60.2817177772522,1.9347361895892325,0.006035041768348879,3.2438369484729153,2.1778235501040584,2.5701946550645105,3.3489311366554246
examples,52.77042974698226,23.009632484553148,45.633113384246826,2.4120867570117728,8.364149029799831e-05,2.5542692570726997,1.4353785589567651,1.6978322249011004,1.7149513998247188
firecracker,52.60341115408036,21.188256115713706,47.30076789855957,2.0881555243136343,0.024043003194304816,2.3458126468054217,1.283123807249514,1.2523734871501528,1.289209653999594
jekyll,49.4511176854582,20.204994755484137,46.571433544158936,1.5220809088757836,0.018923553633084865,1.400984623577795,1.010245139952963,0.7429564997821926,0.31014214614641034
lazydocker,49.14156547423495,18.1809618535151,42.36958026885986,1.131305990373772,0.040153808356916836,0.7025912867407739,0.9985326479799767,0.379177612157614,-1.3720641710291983
joplin,44.896552451422465,18.454342206344133,53.07828187942505,1.953663710839808,-0.004202927007760134,3.2281492940709544,1.4449469826674193,1.7650969965144216,2.405507660958937
marktext,44.34470830104899,21.188323545667007,44.500088691711426,0.7941506880955717,-0.007734514971921046,1.1585397821379395,0.8633666193957487,0.9079711667465256,0.9951862702611283
developer-roadmap,42.76716916074408,15.64708049740528,39.98194932937622,3.1268207470733778,0.03842260673879721,2.0038790423655835,0.28003551982725927,0.33280616749250996,0.5104379383538903
RxJava,42.38461895839579,15.715444254269254,38.45062255859375,0.683774961162168,-0.002256190643398015,1.6580099995114992,0.854827951256514,0.7115810285717697,0.3768661737371076
architecture-samples,41.42325722333195,15.231687649881012,35.53202152252197,0.6185357104813567,-0.00019483824028492745,1.1532545426774883,1.4370631860126666,0.535650301513551,-0.9171913268234926
tldr,39.75347547919231,15.283777714766645,40.823304653167725,2.5912604605288996,0.045210155824187345,1.4380088521196537,0.7305566786437626,1.045355394815046,1.7366624799804817
shellcheck,36.710121662141646,15.189834806586353,40.35203456878662,1.3201702065970473,0.00024816731492198973,1.2710569868075716,1.135163998977348,1.4127894386929516,1.5634217681520672
uni-app,35.286866206544836,21.31520366896285,44.87950801849365,1.5956324245016393,0.0015547175257730073,2.35131066632109,1.729786438151165,1.7726702971606096,1.691017643245445
foundation-sites,35.13380774690467,12.77575825659483,29.02923822402954,0.36933325298995295,-0.0014833425812098666,1.231306563284798,0.5411259597219891,0.6202535368949331,0.8085743602616372
Kingfisher,34.663708367782355,12.845060967668653,31.48815631866455,0.6574614916583428,-0.00025703176619315754,1.5401195323973413,0.814491016209029,0.8460251974803417,1.1823537068980117
gold-miner,33.0926272684006,11.485092969590239,33.931756019592285,0.4749631057568627,-0.0008380514330016495,1.8005692191173082,0.4730874952126657,0.4205530845667792,0.34236542067777564
carbon,32.35952419411405,11.389617958385193,31.074821949005127,0.4702147315247431,0.0014234199219285515,1.1767188747335247,1.0358873887272704,0.6175952833252144,-0.36183769302311763
thefuck,31.301622838869214,11.270216941772606,32.926106452941895,0.5601499360202241,0.0033373374053964665,1.2685067084837933,1.2679809884147633,0.7714733074150883,0.12500711426855354
standard,31.11140183607074,10.859372186137941,28.80532741546631,0.7742547425010542,0.0033226904575181146,1.0325828626428328,0.5950585265281185,0.6837432016850924,0.9042010372628967
Sortable,30.301157260380506,11.154036512204295,30.011534690856934,1.2071797953880148,0.0005559680955143926,1.5853603761163668,0.5565007380536837,0.6965828380014211,0.685888627232323
learnGitBranching,29.015999386374506,10.040057182829612,26.060521602630615,0.908994772251884,-0.003296805937947465,1.5890133545411969,0.5642549886891017,0.5249355172756862,0.35385894071066637
koa,28.75014127458957,10.088999439738416,33.50576162338257,0.8525018930434025,0.012570823131127503,1.3268532348081952,0.7815446203589327,0.9921412399151573,1.4360605492311798
realworld,27.99156937051226,9.899715855535922,25.811457633972168,0.5622805557850707,0.005107495909207873,1.0465605878080229,0.6126655038722049,0.42384625609293536,-0.3525998294467409
Python,27.39677191406932,10.244527239565578,26.586759090423584,1.7404669755734683,0.05808801014113115,0.833527192423266,0.5351972325599158,0.5687055393672171,0.4369672245444153
RedisDesktopManager,27.292061012476065,11.96653449464355,32.06223249435425,0.5034172465869605,-0.007914935143216898,1.5323239209892539,0.7977351568241383,0.5737849595786462,0.008539374652273574
zx,26.45661536830482,9.187871232996645,31.27063512802124,0.5755096627573562,-0.00394489349148075,1.6295512932559737,1.3024292141655944,0.6900660770672238,-0.7702772978747537
LeetCode-Go,25.405223149625613,8.737151800862078,22.26541042327881,0.3580657499545506,0.00039035340577884636,1.4766565369903033,0.3909820753498352,0.5064560583077656,0.5509691080570776
CPlusPlusThings,23.359777349643938,8.369810441442535,25.871622562408447,0.5020652679131803,-0.0057151759585307325,0.934816950532085,0.4904245292078129,0.2608790392540859,-0.02839341987975344
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,20.84935252093267,7.31175340699433,20.961332321166992,0.810698571368383,0.00925394895384882,0.7240104400685752,0.24950942770393952,0.6169213678521056,1.0510659430971898
javascript-testing-best-practices,19.10751372773341,6.685354652108802,15.629243850708008,0.3811668948057325,-0.004213561363179733,1.454757190936085,0.21660753863307652,0.12444029061777724,-0.25071075222057376
public-apis,19.048753648316627,6.531864292280863,12.689626216888428,0.43181184834953107,0.0021898752694917154,1.3374251830197537,0.535904205934653,0.45510013807586763,0.3284159241969236
You-Dont-Know-JS,18.61815019203715,6.335067249328276,20.55978775024414,0.946940394373953,0.005998945696594145,1.1050204211797583,0.42275071063338515,0.39474649331977246,0.5006031053537467
ink,18.17777308991548,6.217483673616344,20.52180767059326,0.5466267753273696,-0.0022515230190757636,1.6007423505129141,0.3463888574994694,0.3638498167281062,0.4872098693245519
30-seconds-of-code,17.686197704958293,5.996047533579537,16.873276233673096,0.0005381405297614664,-3.7566767695377035e-05,1.1342467023667377,0.18410195472852414,0.010353871896502729,-0.5109650384445041
hub,15.1411944727919,5.229335303452666,22.423386573791504,0.46543821770401833,-0.0008539236435488347,1.0986633323823127,0.521587138042636,0.37652650584615466,0.13685386223834342
leakcanary,14.611550831806674,5.065593090183608,19.80721950531006,0.3850075325311346,-0.0040672990174596465,1.1444913056102275,0.6406356905995281,0.6411383767879488,0.14016575610652648
DeepSpeech,14.192173730684363,4.785575128750246,12.781310081481934,0.2059061195400437,-0.0024257690439338344,3.040299438576379,0.191224255076496,0.22560536974420872,0.260433385224181
interview,11.896850978473726,4.269905180380336,10.590100288391113,0.1613216866797542,-0.0005767479851454762,1.094717447910634,0.4312335270581378,0.12698245246199621,-0.5813533367165803
bitcoinbook,9.32312216208187,3.131243483782816,6.627988815307617,0.10435361837042981,-0.00016487276934417982,1.1153705857732301,0.1019822384099945,0.11970126134464985,0.16370772894448926
architecture-components-samples,8.91257877997619,3.013068013680454,13.286542892456055,0.17964320232600828,-0.00016476368949761618,0.9638231224550042,0.24917057965872633,0.402463079793411,0.5688734699972623
masscan,7.705483337719754,2.5801986960299614,8.913624286651611,0.3859989393306218,0.002348570604005826,1.3056563766960885,0.2640050843556471,0.1277772200783893,-0.2599803935435548
gulp,7.203581647872332,2.9415336202013274,18.32270622253418,0.29452739725359667,-0.00039603410114372054,2.6855628240805585,0.5998205731940617,0.6851032477401191,1.2194540788800323
RxAndroid,1.4297861888739452,0.4768983317266326,1.5998601913452148,0.0765230559998577,0.0033189888404749255,1.3218498243144825,0.056287522957837226,0.002946904690779333,-0.16016879184426744
bypass-paywalls-chrome,1.2574529757055641,0.4192409737016618,1.5169739723205566,0.0031800375019711783,-0.00022197671950051896,0.8791547605957494,0.12179203940178635,0.018897722795771794,-0.3292883678859404
mostly-adequate-guide,0.9647131196075681,0.32199536343656915,2.151012420654297,0.12512222237508053,-0.0020270977210070126,1.8766973891453247,0.0472244788636698,0.06301015464865836,0.0542027882136132
